product_id,title,category,price,sales_volume,gmv,attributes,image_url
M001,法式碎花收腰连衣裙,连衣裙,129,2600,335400,风格=法式;材质=雪纺;颜色=蓝色,
M002,通勤显瘦西装连衣裙,连衣裙,239,1200,286800,风格=通勤;材质=聚酯纤维;颜色=黑色,
M003,妈妈装民族风刺绣外套,外套,199,1800,358200,风格=民族风;材质=棉麻;颜色=红色,
M004,休闲宽松棉麻衬衫,衬衫,89,3300,293700,风格=休闲;材质=棉麻;颜色=白色,
M005,高级感真丝衬衫女,衬衫,399,620,247380,风格=轻奢;材质=真丝;颜色=米色,
M006,度假沙滩印花长裙,连衣裙,159,2100,333900,风格=度假;材质=雪纺;颜色=绿色,
M007,日常百搭针织开衫,开衫,119,2800,333200,风格=日常;材质=针织;颜色=灰色,
M008,小香风短外套女春秋,外套,269,970,260930,风格=小香风;材质=粗花呢;颜色=白色,
M009,复古盘扣民族风上衣,上衣,149,1500,223500,风格=民族风;材质=棉麻;颜色=藏青,
M010,韩版宽松防晒衬衫,衬衫,69,4200,289800,风格=韩版;材质=聚酯纤维;颜色=蓝色,
M011,优雅收腰气质连衣裙,连衣裙,219,1350,295650,风格=优雅;材质=聚酯纤维;颜色=杏色,
M012,新中式刺绣盘扣外套,外套,329,760,250040,风格=新中式;材质=棉麻;颜色=黑色,
M013,运动休闲速干上衣,上衣,79,3100,244900,风格=运动;材质=速干;颜色=粉色,
M014,夏季纯色亚麻连衣裙,连衣裙,189,1750,330750,风格=休闲;材质=亚麻;颜色=白色,
M015,轻熟通勤半身裙套装,套装,259,930,240870,风格=通勤;材质=聚酯纤维;颜色=咖色,
